PRICE,ROOMS,BATHROOMS,SURFACE,CITY,DISTRICT,ASSET_TYPE
148800,1,1,41,Vicente López,Olivos,Departamento
95000,1,1,30,Vicente López,Olivos,Departamento
170000,2,1,68,Palermo,Palermo Soho,Departamento
112000,2,1,50,Vicente López,Olivos,Departamento
135600,2,1,52,Vicente López,Munro,Departamento
133600,2,1,52,Vicente López,Florida,Departamento
157700,2,1,60,Vicente López,Florida,Departamento
167000,2,1,46,Vicente López,Olivos,Departamento
139000,2,1,36,Vicente López,Olivos,Departamento
120000,2,1,50,Vicente López,Munro,Departamento
220500,2,2,68,Vicente López,Olivos,Departamento
138500,2,1,57,Vicente López,Munro,Departamento
265000,2,1,48,Vicente López,Olivos,Departamento
173000,2,1,46,Vicente López,Olivos,Departamento
157700,2,1,60,Vicente López,Florida,Departamento
138500,2,1,57,Vicente López,Florida,Departamento
175000,3,1,68,Vicente López,Olivos,PH
249000,3,1,82,Vicente López,Olivos,Casa
330000,3,1,123,Vicente López,Olivos,Casa
285000,3,3,125,Palermo,Palermo Soho,Departamento
240000,3,2,68,Palermo,Palermo Soho,Departamento
153000,3,1,49,Palermo,Palermo Soho,Departamento
750000,3,2,500,Vicente López,Munro,Local comercial
205000,4,2,139,Vicente López,Florida,PH
240000,4,1,95,Vicente López,Olivos,Casa
450000,4,1,160,Vicente López,La Lucila,Casa
298000,4,3,118,Vicente López,Olivos,Casa
250000,4,1,118,Vicente López,Olivos,Casa
375000,4,2,170,Vicente López,La Lucila,Casa
298000,4,2,174,Vicente López,Olivos,Casa
225000,4,1,100,Vicente López,Olivos,Casa
329000,4,4,120,Vicente López,Olivos,Casa
355000,4,2,219,Vicente López,Olivos,Oficina
649000,4,2,250,Palermo,Palermo Soho,Departamento
265000,4,2,86,Vicente López,Olivos,Departamento
593000,4,3,180,Vicente López,Olivos,Departamento
205000,4,2,139,Vicente López,Florida,Departamento
295000,4,2,92,Vicente López,Olivos,Departamento
765000,4,4,180,Vicente López,Olivos,Departamento
287000,4,2,86,Vicente López,Olivos,Departamento
265000,4,2,86,Vicente López,Olivos,Departamento
281000,4,2,86,Vicente López,Olivos,Departamento
289000,4,2,92,Vicente López,Olivos,Departamento
420000,4,1,300,Vicente López,Olivos,Local comercial
398000,4,3,215,Vicente López,Olivos,Local comercial
398000,4,3,215,Vicente López,Olivos,Local comercial
425000,5,2,180,Vicente López,Olivos,Casa
410000,5,2,184,Vicente López,Florida,Casa
349000,5,2,219,Vicente López,Olivos,Casa
390000,5,1,230,Vicente López,Florida,Casa
270000,5,3,225,Vicente López,Carapachay,Casa
580000,5,3,175,Palermo,Palermo Viejo,Departamento
750000,5,3,206,Palermo,Palermo Chico,Departamento
1480000,6,4,400,Vicente López,Olivos,Casa
550000,6,4,293,Vicente López,Olivos,Casa
2100000,8,4,330,Palermo,Palermo Chico,Departamento
154000,3,1,64,Palermo,Palermo Soho,PH
298000,4,1,169,Vicente López,Olivos,PH
230000,3,2,94,Vicente López,Munro,Casa
300000,5,2,148,Vicente López,Olivos,Casa
59000,1,1,22,Vicente López,Florida,Oficina
240000,2,1,45,Palermo,Palermo Hollywood,Departamento
1050000,5,5,320,Palermo,Palermo Viejo,Departamento
370000,1,1,59,Palermo,Palermo Hollywood,Departamento
